,도로명,카메라대수,위도,경도,시군구코드
16418, 대학동 210 관악산공원 주차장1,1,37.46831654,126.9456034,11620
16419, 대학동 210 관악산공원 주차장1,1,37.46824624,126.945476,11620
16420, 대학동 210 관악산공원 피크닉숲,1,37.46185796,126.9479584,11620
16421, 대학동 210 관악산공원 야외식물원,1,37.4609092,126.94819960000001,11620
16422, 대학동 210 관악산공원 제1야영장,2,37.45796926,126.94641329999999,11620
16423, 대학동 210 관악산공원 제2야영장,1,37.45560656,126.9453963,11620
16424, 청룡동 산151-139 장군봉근린공원1(메인),1,37.47969721,126.93720320000001,11620
16425, 청룡동 산151-139 장군봉근린공원2(서브),1,37.47983361,126.93636969999999,11620
16426, 청룡동 산151-139 장군봉근린공원3(서브),1,37.48048489,126.93686329999998,11620
16427, 양산길 21-2 양산어린이공원,1,37.47369949,126.93265829999999,11620
16428, 승방1길 79 군아파트어린이공원,1,37.47177181,126.97905359999999,11620
16429, 봉천로33가길 19-10 한뼘동래공원,1,37.48472219,126.9448623,11620
16430, 당곡2길 112 상도근린공원,1,37.49274898,126.9350922,11620
16431, 법원단지18길 31 남강창의어린이공원,1,37.47331235,126.92363629999998,11620
16432, 난곡동 산 90-2 일삼별공원 농구코트,1,37.4667325,126.9237165,11620
16433, 남현동 산 65 관음사지구 둘레길화장실앞,1,37.46985456,126.9778824,11620
16434, 대학동 산 56-2 무장애등산로1,1,37.45641695,126.9461288,11620
16435, 미성동 산 117-3 선우공원 생태지역 진입부,1,37.46924978,126.9126727,11620
16436, 미성동 산 197-31 신림근린공원 쉼터지역,1,37.48097851,126.916495,11620
16437, 미성동 산 197-31 신림근린공원 운동시설,1,37.48021998,126.91582690000001,11620
16438, 보라매동 산 118-6 상도근린공원 약수터주변,1,37.49183062,126.93626129999998,11620
16439, 은천동 산 103-3 상도근린공원 맷돌체육회,1,37.49202819,126.9402673,11620
16440, 성현동 산 1718-9 상도근린공원 봉현배수지,1,37.49312281,126.94530759999999,11620
16441, 청룡동 산 175-6 유아숲체험장 진입부분,1,37.47472773,126.9493561,11620
16442, 청룡동 산 175-6 유아숲체험장 숲속쉼터,1,37.47469864,126.94824640000002,11620
16443, 청룡동 산 175-27 청룡산공원 휴게테크,1,37.47521741,126.95156440000001,11620
16444, 청룡산 산 175-27 청룡산공원 운동공간,1,37.47535786,126.9510767,11620
16445, 남부순환로251길 20 까치산근린공원 경로당 및 놀이터앞,1,37.47646946,126.96963059999999,11620
16446, 남부순환로251길 20 까치산근린공원 화장실앞,1,37.47648687,126.9701338,11620
16540, 청룡동 556-91 청룡산공원,1,37.47727121,126.9493785,11620
16541, 청룡동 556-91 청룡산공원,1,37.47695176,126.9493817,11620
16542, 행운4길 2 까치어린이공원,1,37.47984474,126.9593811,11620
16543, 행운4길 2 까치어린이공원,1,37.4798474,126.9598386,11620
16544, 미성8길 3-20 신라창의어린이공원,1,37.47351263,126.91267309999999,11620
16545, 봉천로21길 67 국사봉어린이공원,1,37.48996775,126.9342732,11620
16546, 국회단지10길 22 은천어린이공원,1,37.48838569,126.94295859999998,11620
16547, 난곡로43길 25 한라어린이공원,1,37.47566349,126.91483999999998,11620
16548, 관악산공원 돌산화장실앞,1,37.4666724,126.9470937,11620
16549, 관악산공원 호수공원 01,1,37.45853189,126.946999,11620
16550, 관악산공원 호수공원 02,1,37.45887888,126.947301,11620
16551, 대학동 208 맨발공원,1,37.46685449,126.9443101,11620
16552, 대학길 129 샘말공원01,1,37.46499971,126.93847199999999,11620
16553, 대학길 129 샘말공원02,1,37.46455265,126.93809809999999,11620
16554, 난곡로11길 40 난곡공원01,1,37.46569065,126.9171947,11620
16555, 난곡로11길 40 난곡공원02,1,37.46595976,126.91723,11620
16556, 법원단지5나길 76 난우공원01,1,37.47739069,126.92271799999999,11620
16557, 법원단지5나길 76 난우공원02,1,37.47771547,126.9221625,11620
16558, 미성동 산 117-3 선우공원01,1,37.46879472,126.9130441,11620
16559, 미성동 산 117-3 선우공원01,1,37.46663318,126.91405309999999,11620
16560, 난곡로26길 135 신림6배수지공원01,1,37.46823737,126.9264493,11620
16561, 난곡로26길 135 신림6배수지공원02,1,37.46833633,126.92591329999999,11620
16562, 인헌길 169-21 봉천11배수지공원,1,37.46909557,126.96996299999999,11620
16563, 삼성동 1713-6 배수지공원,1,37.46331438,126.9272212,11620
16564, 보라매동 산104-9 상도근린공원01,1,37.48890915,126.9381012,11620
16565, 보라매동 산104-9 상도근린공원02,1,37.48935129,126.9379689,11620
16566, 보라매동 산104-9 상도근린공원03,1,37.48929225,126.93834299999999,11620
16567, 봉천로41길 35 중앙공원01,1,37.48438675,126.94847490000001,11620
16568, 봉천로41길 35 중앙공원02,1,37.48430156,126.94818659999999,11620
16975, 장군봉2길 1,5,37.48226928,126.94018390000002,11620
16976, 남부순환로206길 32,1,37.48108245,126.941804,11620
16977, 청룡9길 12,1,37.4787465,126.9464696,11620
16978, 청룡15길 23,1,37.47660905,126.94691090000002,11620
16979, 남부순환로210길 29,5,37.48048661,126.944654,11620
16980, 청룡8길 5,4,37.47987243,126.94598700000002,11620
16981," 청림길 7-1, 서희스타힐스 부근",4,37.48833424,126.95908349999999,11620
16982, 양녕로6길 118,4,37.4869323,126.95841750000001,11620
16983, 청림3라길 20,3,37.49019989,126.95980530000001,11620
16984, 행운1라길 56,1,37.48185647,126.95796979999999,11620
16985, 행운5길 24,1,37.48192982,126.95902579999999,11620
16986, 행운길 38,1,37.48070962,126.95947920000002,11620
16987, 솔밭로5길 11,4,37.47982758,126.96306809999999,11620
16988, 남부순환로247다길 55,1,37.47844302,126.9645338,11620
16989, 남부순환로247길 13,4,37.4767182,126.9664007,11620
16990, 행운1나길 16,1,37.48204993,126.95539840000002,11620
16991, 보라매로6길 46,1,37.49270307,126.929432,11620
16992, 국회단지19길 1,3,37.48977919,126.94214960000001,11620
16993, 청림6길 21,1,37.48635301,126.95892079999999,11620
16994, 난곡로26길 89,1,37.46932755,126.9243267,11620
16995, 난곡로26길 89,4,37.46611241,126.92118070000001,11620
16996, 양지12길 5,4,37.46893255,126.9289616,11620
16997, 봉천로21라길 10,1,37.48908686,126.93374140000002,11620
16998, 양녕로 16길 32,1,37.49084507,126.9455365,11620
16999, 구암5가길 32,1,37.49125069,126.946317,11620
17000, 남부순환로 1561-1,1,37.4837519,126.9242301,11620
17001, 신림로44길 24,1,37.4785555,126.93516409999998,11620
17002, 남부순환로240길 20,3,37.47711289,126.9605956,11620
17003, 관악로14가길 69,5,37.47552157,126.95506950000001,11620
17004, 봉천로522-8,5,37.47858449,126.95556090000002,11620
17006, 신림로71길 45,4,37.48798077,126.9257294,11620
17007, 관천로24길 3,1,37.48879234,126.92241920000001,11620
17008, 관천로11길 13,5,37.48433352,126.92422260000001,11620
17009, 남부순환로151길 13,3,37.48299627,126.9172314,11620
17010, 조원로31길 49,5,37.48817468,126.91910530000001,11620
17011, 남부순환로161길 64,5,37.48520867,126.91877099999999,11620
17012, 난곡로66가길 28,3,37.48378568,126.9147304,11620
17013, 남부순환로149길 13,3,37.48277114,126.9160023,11620
17014, 남부순환로166길 61,4,37.48043463,126.92393340000001,11620
17015, 문성로32길 18,1,37.47862396,126.92879920000001,11620
17016, 문성로38다길 2,3,37.47576071,126.9300956,11620
17017, 문성로38길 25,1,37.47640722,126.9289281,11620
17018, 국회단지13길 16,5,37.48941406,126.941028,11620
17019, 국회단지6길 6,3,37.4881223,126.9406328,11620
17020, 국회단지5길 16,1,37.48806084,126.9395179,11620
17021, 봉천로 355,2,37.48433922,126.93980559999999,11620
17022, 봉천로25길 13,1,37.48574948,126.93797690000001,11620
17023, 은천로 6,5,37.48634056,126.9360757,11620
17024, 인헌9길 74,1,37.47241048,126.97100359999999,11620
17025, 인헌길 71,3,37.47242289,126.9666387,11620
17026, 인헌1나길 17,1,37.47337155,126.969902,11620
17027, 인헌1길 59,1,37.47486453,126.97001170000001,11620
17028, 인헌16길 24,4,37.46988641,126.9666271,11620
17029, 낙성대역6길 14,5,37.47480181,126.96220590000001,11620
17030, 조원로6길 15,6,37.48269142,126.90471459999999,11620
17031, 조원로4길 33,4,37.48211292,126.9051494,11620
17032, 남부순환로145길 11,5,37.48207624,126.912218,11620
17033, 봉천로 471-1,1,37.48233475,126.95258229999999,11620
17034, 중앙길 83,1,37.48558297,126.95040549999999,11620
17035, 봉천로41길 10,5,37.48328685,126.94796709999999,11620
17066, 난곡로52길 16,4,37.47836946,126.91622679999999,11620
17067, 법원단지5나길 58,2,37.47639628,126.9218834,11620
17068," 미성3길 20, 신림동부센트레빌아파트 부근",5,37.47379633,126.91691409999999,11620
17069, 문성로16길 40,3,37.47486426,126.91319140000002,11620
17070, 미성7길 26,5,37.47427194,126.9136535,11620
17071, 봉천로13길 28,4,37.48987118,126.93068999999998,11620
17072, 보라매로3길 5,1,37.49129863,126.926533,11620
17073, 보라매로 14-5,4,37.49088397,126.9281331,11620
17074, 당곡6길 77,1,37.49311262,126.9313831,11620
17075, 당곡6길 41,4,37.49210332,126.9295392,11620
17076, 봉천로7길 25,2,37.49063061,126.9263124,11620
17077, 호암로18나길 27,5,37.46429343,126.93285619999999,11620
17078, 호암로16길 70,1,37.46556777,126.9331702,11620
17079," 호암로 528, 농협하나로마트 부근",4,37.46469588,126.9315369,11620
17080, 약수암길 8,4,37.46100702,126.9322949,11620
17081, 양지길 28,2,37.47144924,126.93125220000002,11620
17082, 쑥고개로2다길 17,5,37.47627005,126.9396876,11620
17083, 남부순환로192길 17,1,37.4769122,126.93552240000001,11620
17084, 신림로36길 25,5,37.47598183,126.9387483,11620
17085, 신림로38길 6,5,37.47657627,126.9377913,11620
17086, 복은12길 13,5,37.47462974,126.94185470000001,11620
17087, 서원길 4,3,37.47749693,126.93282409999999,11620
17088, 서원5길 36,1,37.47632048,126.9346501,11620
17089, 문성로40길 24,4,37.47743135,126.93120790000002,11620
17090, 신림로48길 6,3,37.479091,126.93242079999999,11620
17091, 구암길 76,3,37.49182,126.94692659999998,11620
17092, 관악로37길 63,1,37.48698336,126.95606070000001,11620
17093, 은천로35바길 17,1,37.48821956,126.95514479999999,11620
17094, 은천로35길 52,5,37.48837014,126.95388600000001,11620
17095," 성현로 53, 구암중학교 부근",4,37.49221813,126.9489399,11620
17253, 신림로28길 59,4,37.47207027,126.9367369,11620
17254, 복은길 60,5,37.47460297,126.9391541,11620
17255, 복은7길 1,4,37.47474846,126.9402412,11620
17256, 난곡로45길 5,4,37.47642475,126.9157101,11620
17257, 남부순환로144길 65,5,37.47856822,126.9141232,11620
17258, 문성로 206,5,37.47908211,126.9265092,11620
17259, 관악로14길 38-9,4,37.47841637,126.9543908,11620
17260, 남부순환로234길 72,5,37.47638763,126.95613370000001,11620
17261, 낙성대로 12,1,37.47726713,126.95913359999999,11620
17262, 청림6길 16,1,37.4742728,126.9604368,11620
17263, 법원단지21길 2,5,37.47492625,126.92280729999999,11620
17264, 법원단지길 138,3,37.47570943,126.9242106,11620
17265, 법원단지22길 34,1,37.47364015,126.92396979999998,11620
17266, 난곡로34다길 3,1,37.47207427,126.92244860000001,11620
17267, 난곡로26나길 33,1,37.46865733,126.9234215,11620
17268, 난곡로26나길 57,5,37.46752973,126.92282639999999,11620
17269, 난곡로35나길 10,1,37.47275349,126.9181587,11620
17270, 난향길 70,5,37.46283034,126.91558490000001,11620
17271, 난향2길 5,5,37.46316475,126.9185246,11620
17272, 난곡로9길 38,1,37.46374444,126.9178135,11620
17273, 남현12길 37,5,37.47219054,126.9720775,11620
17274, 남부순환로260길 41,4,37.47450691,126.97237340000002,11620
17275, 남현12길 18,5,37.4716712,126.9729274,11620
17276, 남현길 106,4,37.47253163,126.974772,11620
17277, 남현6길 45,1,37.47310877,126.97398030000001,11620
17278, 호암로22길 11,5,37.46902206,126.933227,11620
17279, 대학6길 25,5,37.46905946,126.93642279999999,11620
17280, 신림로 67,3,37.46995749,126.9414749,11620
17281, 신림로3가길 46,4,37.46889528,126.9420767,11620
17282, 대학10길 3-3,1,37.46753497,126.9376382,11620
17284, 밤골길 6,5,37.46202243,126.93178059999998,11620
17285, 광신길 154,3,37.46485744,126.9267517,11620
17286, 난곡로 186,3,37.47198482,126.91998240000001,11620
17287, 난곡로25가길 18,3,37.4700542,126.91847790000001,11620
17288, 법원단지2길 9,4,37.4737186,126.9195813,11620
17289, 난우길 34-4,4,37.47587344,126.9181953,11620
17290, 광신길 177,1,37.46698133,126.92673059999998,11620
17291, 당곡2가길 21,3,37.49157053,126.93014869999999,11620
17292, 양녕로6나길 30,4,37.48552653,126.94969990000001,11620
17293, 청림3길 37,4,37.48979825,126.9585229,11620
17294, 남부순환로151길 65,5,37.48441531,126.9146429,11620
17295, 양녕로6다길 3,4,37.4838374,126.94979609999999,11620
17296, 청림3다길 15,4,37.49019114,126.9578807,11620
17297, 관악로 125,4,37.47558679,126.9518496,11620
17298, 낙성대동 산58-1,4,37.47489669,126.95899809999999,11620
17299, 남부순환로260길 15,4,37.47496388,126.97347859999998,11620
17300, 관천로11길 69,5,37.48361585,126.9205629,11620
17301, 조원로2길 32,5,37.48229224,126.9020237,11620
17302, 남부순환로 1455,4,37.48146603,126.9124003,11620
17303, 난우10길 13,3,37.476123,126.9187626,11620
17304, 미성길 127,3,37.47188111,126.91207849999999,11620
17305, 남부순환로170길 6,4,37.48268497,126.9245925,11620
17306, 난곡로 178,4,37.47087898,126.9199365,11620
17307, 신림동 700-57,4,37.47000023,126.92000520000002,11620
17308, 동광로49-31,5,37.47062478,126.9190903,11620
17309, 문성로 212,4,37.47923089,126.9270186,11620
17310, 문성로28길 9,4,37.4786946,126.92728980000001,11620
17311, 대학7길 43,5,37.46853617,126.9400508,11620
17312, 봉천로41길 28,5,37.48407466,126.94808379999999,11620
17313, 신림동 300-8,3,37.46627057,126.9307058,11620
17387, 은천로24길 26,5,37.48571725,126.947981,11620
